"indicator_name" "num_avail"
"Children (0-14) living with HIV" 0
"Children (ages 0-14) newly infected with HIV" 0
"Children in employment, female (% of female children ages 7-14)" 1
"Children in employment, male (% of male children ages 7-14)" 1
"Children in employment, self-employed (% of children in employment, ages 7-14)" 0
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)" 0
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)" 0
"Children in employment, study and work (% of children in employment, ages 7-14)" 1
"Children in employment, study and work, female (% of female children in employment, ages 7-14)" 1
"Children in employment, study and work, male (% of male children in employment, ages 7-14)" 1
"Children in employment, total (% of children ages 7-14)" 1
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)" 1
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)" 1
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)" 1
"Children in employment, wage workers (% of children in employment, ages 7-14)" 1
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)" 1
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)" 1
"Children in employment, work only (% of children in employment, ages 7-14)" 1
"Children in employment, work only, female (% of female children in employment, ages 7-14)" 1
"Children in employment, work only, male (% of male children in employment, ages 7-14)" 1
"Children out of school (% of primary school age)" 37
"Children out of school, female (% of female primary school age)" 24
"Children out of school, male (% of male primary school age)" 24
"Children out of school, primary, female" 24
"Children out of school, primary, male" 24
"Children with fever receiving antimalarial drugs (% of children under age 5 with fever)" 0
"Claims on central government (annual growth as % of broad money)" 55
"Claims on central government, etc. (% GDP)" 51
"Claims on other sectors of the domestic economy (% of GDP)" 0
"Claims on other sectors of the domestic economy (annual growth as % of broad money)" 0
"Claims on private sector (annual growth as % of broad money)" 55
"CO2 emissions (kg per 2010 US$ of GDP)" 49
"CO2 emissions (kg per 2011 PPP $ of GDP)" 24
"CO2 emissions (kg per PPP $ of GDP)" 24
"CO2 emissions (kt)" 54
"CO2 emissions (metric tons per capita)" 54
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)" 43
"CO2 emissions from gaseous fuel consumption (% of total)" 54
"CO2 emissions from gaseous fuel consumption (kt)" 54
"CO2 emissions from liquid fuel consumption (% of total)" 54
"CO2 emissions from liquid fuel consumption (kt)" 54
"CO2 emissions from manufacturing industries and construction (% of total fuel combustion)" 43
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)" 43
"CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)" 43
"CO2 emissions from solid fuel consumption (% of total)" 54
"CO2 emissions from solid fuel consumption (kt)" 54
"CO2 emissions from transport (% of total fuel combustion)" 43
"CO2 intensity (kg per kg of oil equivalent energy use)" 43
"Coal rents (% of GDP)" 45
"Combustible renewables and waste (% of total energy)" 43
"Commercial bank branches (per 100,000 adults)" 15
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)" 39
"Commercial service exports (current US$)" 40
"Commercial service imports (current US$)" 39
"Commitments, IBRD (COM, current US$)" 45
"Commitments, IDA (COM, current US$)" 18
"Commitments, official creditors (COM, current US$)" 46
"Commitments, private creditors (COM, current US$)" 46
"Commitments, public and publicly guaranteed (COM, current US$)" 46
"Communications, computer, etc. (% of service exports, BoP)" 40
"Communications, computer, etc. (% of service imports, BoP)" 39
"Community health workers (per 1,000 people)" 0
"Compensation of employees (% of expense)" 23
"Compensation of employees (current LCU)" 23
"Completeness of birth registration (%)" 1
"Completeness of birth registration, rural (%)" 1
"Completeness of birth registration, urban (%)" 1
"Completeness of death registration with cause-of-death information (%)" 1
"Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)" 1
"Completeness of total death reporting (% of reported total deaths to estimated total deaths)" 2
"Computer, communications and other services (% of commercial service exports)" 40
"Computer, communications and other services (% of commercial service imports)" 39
"Concessional debt (% of total external debt)" 46
"Condom use, population ages 15-24, female (% of females ages 15-24)" 0
"Condom use, population ages 15-24, male (% of males ages 15-24)" 0
"Consumer price index (2010 = 100)" 33
"Consumption of iodized salt (% of households)" 1
"Container port traffic (TEU: 20 foot equivalent units)" 8
"Contraceptive prevalence, any methods (% of women ages 15-49)" 8
"Contraceptive prevalence, modern methods (% of women ages 15-49)" 6
"Contributing family workers, female (% of female employment)" 8
"Contributing family workers, male (% of male employment)" 8
"Contributing family workers, total (% of total employment)" 15
"Cost of business start-up procedures (% of GNI per capita)" 14
"Cost of business start-up procedures, female (% of GNI per capita)" 14
"Cost of business start-up procedures, male (% of GNI per capita)" 14
"Cost to export (US$ per container)" 10
"Cost to import (US$ per container)" 10
"Coverage (%) - All Labor Market" 0
"Coverage (%) - All Social Assistance" 1
"Coverage (%) - All Social Insurance" 0
"Coverage (%) -All Social Protection and Labor" 1
"CPIA building human resources rating (1=low to 6=high)" 0
"CPIA business regulatory environment rating (1=low to 6=high)" 0
"CPIA debt policy rating (1=low to 6=high)" 0
"CPIA economic management cluster average (1=low to 6=high)" 0
"CPIA efficiency of revenue mobilization rating (1=low to 6=high)" 0
"CPIA equity of public resource use rating (1=low to 6=high)" 0
"CPIA financial sector rating (1=low to 6=high)" 0
"CPIA fiscal policy rating (1=low to 6=high)" 0
"CPIA gender equality rating (1=low to 6=high)" 0
"CPIA macroeconomic management rating (1=low to 6=high)" 0
"CPIA policies for social inclusion/equity cluster average (1=low to 6=high)" 0
"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)" 0
"CPIA property rights and rule-based governance rating (1=low to 6=high)" 0
"CPIA public sector management and institutions cluster average (1=low to 6=high)" 0
"CPIA quality of budgetary and financial management rating (1=low to 6=high)" 0
"CPIA quality of public administration rating (1=low to 6=high)" 0
"CPIA social protection rating (1=low to 6=high)" 0
"CPIA structural policies cluster average (1=low to 6=high)" 0
"CPIA trade rating (1=low to 6=high)" 0
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)" 0
"Crop production index (2004-2006 = 100)" 53
"Currency composition of PPG debt, all other currencies (%)" 15
"Currency composition of PPG debt, Deutsche mark (%)" 31
"Currency composition of PPG debt, Euro (%)" 15
"Currency composition of PPG debt, French franc (%)" 31
"Currency composition of PPG debt, Japanese yen (%)" 46
"Currency composition of PPG debt, Multiple currencies (%)" 46
"Currency composition of PPG debt, Pound sterling (%)" 46
"Currency composition of PPG debt, SDR (%)" 46
"Currency composition of PPG debt, Swiss franc (%)" 46
"Currency composition of PPG debt, U.S. dollars (%)" 46
"Current account balance (% of GDP)" 40
"Current account balance (BoP, current US$)" 40
"Current education expenditure, primary (% of total expenditure in primary public institutions)" 4
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)" 4
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)" 8
"Current education expenditure, total (% of total expenditure in public institutions)" 7
"Customs and other import duties (% of tax revenue)" 40
"Customs and other import duties (current LCU)" 40
"Death rate, crude (per 1,000 people)" 55
"Debt buyback (current US$)" 1
"Debt forgiveness grants (current US$)" 0
"Debt forgiveness or reduction (current US$)" 20
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)" 38
"Debt service on external debt, long-term (TDS, current US$)" 46
"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)" 39
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)" 46
"Debt service on external debt, total (TDS, current US$)" 46
"Debt stock reduction (current US$)" 1
"Debt stock rescheduled (current US$)" 1
"DEC alternative conversion factor (LCU per US$)" 51
"Delay in obtaining an electrical connection (days)" 0
"Demand for family planning satisfied by modern methods (% of married women with demand for family planning)" 2
"Deposit interest rate (%)" 12
"Depositors with commercial banks (per 1,000 adults)" 9
"Depth of credit information index (0=low to 8=high)" 4
"Depth of the food deficit (kilocalories per person per day)" 25
"Diabetes prevalence (% of population ages 20 to 79)" 1
"Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)" 3
"Diarrhea treatment (% of children under 5 who received ORS packet)" 6
"Disaster risk reduction progress score (1-5 scale; 5=best)" 0
"Disbursements on external debt, long-term (DIS, current US$)" 47
"Disbursements on external debt, long-term + IMF (DIS, current US$)" 46
"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)" 37
"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)" 46
"Discrepancy in expenditure estimate of GDP (constant LCU)" 9
"Discrepancy in expenditure estimate of GDP (current LCU)" 51
"Distance to frontier score (0=lowest performance to 100=frontier)" 8
"Documents to export (number)" 10
"Documents to import (number)" 10
"Domestic credit provided by financial sector (% of GDP)" 51
"Domestic credit to private sector (% of GDP)" 51
"Domestic credit to private sector by banks (% of GDP)" 51
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)" 1
"Duration of compulsory education (years)" 13
"Ease of doing business index (1=most business-friendly regulations)" 2
"EBRD, private nonguaranteed (NFL, current US$)" 0
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)" 0
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)" 0
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)" 0
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)" 4
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)" 4
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)" 4
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)" 1
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)" 1
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)" 1
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)" 0
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)" 0
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)" 0
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)" 3
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)" 3
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)" 3
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)" 0
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)" 0
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)" 0
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)" 0
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)" 0
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)" 0
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)" 0
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)" 0
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)" 0
"Effective transition rate from primary to lower secondary general education, both sexes (%)" 35
"Electric power consumption (kWh per capita)" 43
"Electric power transmission and distribution losses (% of output)" 43
"Electricity production from coal sources (% of total)" 43
"Electricity production from hydroelectric sources (% of total)" 43
"Electricity production from natural gas sources (% of total)" 43
"Electricity production from nuclear sources (% of total)" 43
"Electricity production from oil sources (% of total)" 43
"Electricity production from oil, gas and coal sources (% of total)" 43
"Electricity production from renewable sources, excluding hydroelectric (% of total)" 43
"Electricity production from renewable sources, excluding hydroelectric (kWh)" 43
"Emigration rate of tertiary educated (% of total tertiary educated population)" 2
"Employers, female (% of female employment)" 2
"Employers, male (% of male employment)" 2
"Employers, total (% of total employment)" 3
"Employment in agriculture (% of total employment)" 12
"Employment in agriculture, female (% of female employment)" 2
"Employment in agriculture, male (% of male employment)" 2
"Employment in industry (% of total employment)" 12
"Employment in industry, female (% of female employment)" 2
"Employment in industry, male (% of male employment)" 2
"Employment in services (% of total employment)" 12
"Employment in services, female (% of female employment)" 2
"Employment in services, male (% of male employment)" 2
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)" 24
"Employment to population ratio, 15+, female (%) (national estimate)" 5
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)" 24
"Employment to population ratio, 15+, male (%) (national estimate)" 5
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)" 24
"Employment to population ratio, 15+, total (%) (national estimate)" 12
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)" 24
"Employment to population ratio, ages 15-24, female (%) (national estimate)" 1
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)" 24
"Employment to population ratio, ages 15-24, male (%) (national estimate)" 1
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)" 24
"Employment to population ratio, ages 15-24, total (%) (national estimate)" 1
"Energy imports, net (% of energy use)" 43
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)" 23
"Energy related methane emissions (% of total)" 39
"Energy use (kg of oil equivalent per capita)" 43
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)" 25
"Enrolment in primary education, both sexes (number)" 44
"Enrolment in secondary education, both sexes (number)" 43
"Enrolment in secondary general, both sexes (number)" 42
"Enrolment in secondary vocational, both sexes (number)" 40
"Exclusive breastfeeding (% of children under 6 months)" 3
"Expenditure on education as % of total government expenditure (%)" 14
"Expenditure on primary as % of government expenditure on education (%)" 8
"Expenditure on secondary as % of government expenditure on education (%)" 8
"Expenditure on tertiary as % of government expenditure on education (%)" 13
"Expense (% of GDP)" 23
"Expense (current LCU)" 23
"Export value index (2000 = 100)" 36
"Export volume index (2000 = 100)" 36
"Exports as a capacity to import (constant LCU)" 49
"Exports of goods and services (% of GDP)" 51
"Exports of goods and services (annual % growth)" 48
"Exports of goods and services (BoP, current US$)" 40
"Exports of goods and services (constant 2010 US$)" 49
"Exports of goods and services (constant LCU)" 49
"Exports of goods and services (current LCU)" 51
"Exports of goods and services (current US$)" 51
"Exports of goods, services and primary income (BoP, current US$)" 40
"External balance on goods and services (% of GDP)" 51
"External balance on goods and services (constant LCU)" 41
"External balance on goods and services (current LCU)" 51
"External balance on goods and services (current US$)" 51
"External debt stocks (% of exports of goods, services and primary income)" 40
"External debt stocks (% of GNI)" 46
"External debt stocks, concessional (DOD, current US$)" 46
"External debt stocks, long-term (DOD, current US$)" 46
"External debt stocks, long-term private sector (DOD, current US$)" 46
"External debt stocks, long-term public sector (DOD, current US$)" 46
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)" 39
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)" 46
"External debt stocks, short-term (DOD, current US$)" 46
"External debt stocks, total (DOD, current US$)" 46
"External debt stocks, variable rate (DOD, current US$)" 40
"External resources for health (% of total expenditure on health)" 20
"Female genital mutilation prevalence (%)" 0
"Female headed households (% of households with a female head)" 0
"Female legislators, senior officials and managers (% of total)" 0
"Fertility rate, total (births per woman)" 55
"Fertilizer consumption (% of fertilizer production)" 13
"Fertilizer consumption (kilograms per hectare of arable land)" 13
"Final consumption expenditure (constant 2010 US$)" 49
"Final consumption expenditure (constant LCU)" 49
"Final consumption expenditure (current LCU)" 51
"Final consumption expenditure (current US$)" 51
"Final consumption expenditure, etc. (% of GDP)" 51
"Final consumption expenditure, etc. (annual % growth)" 48
"Final consumption expenditure, etc. (constant 2010 US$)" 49
"Final consumption expenditure, etc. (constant LCU)" 49
"Final consumption expenditure, etc. (current LCU)" 51
"Final consumption expenditure, etc. (current US$)" 51
"Firms competing against unregistered firms (% of firms)" 1
"Firms expected to give gifts in meetings with tax officials (% of firms)" 1
"Firms formally registered when operations started (% of firms)" 1
"Firms offering formal training (% of firms)" 1
"Firms that do not report all sales for tax purposes (% of firms)" 0
"Firms using banks to finance investment (% of firms)" 1
"Firms using banks to finance working capital (% of firms)" 1
"Firms with female participation in ownership (% of firms)" 1
"Firms with female top manager (% of firms)" 1
"Fish species, threatened" 1
"Fixed broadband subscriptions" 14
"Fixed broadband subscriptions (per 100 people)" 14
"Fixed telephone subscriptions" 44
"Fixed telephone subscriptions (per 100 people)" 44
"Food exports (% of merchandise exports)" 54
"Food imports (% of merchandise imports)" 54
"Food production index (2004-2006 = 100)" 53
"Food, beverages and tobacco (% of value added in manufacturing)" 41
"Foreign direct investment, net (BoP, current US$)" 40
"Foreign direct investment, net inflows (% of GDP)" 40
"Foreign direct investment, net inflows (BoP, current US$)" 40
"Foreign direct investment, net outflows (% of GDP)" 39
"Foreign direct investment, net outflows (BoP, current US$)" 39
"Forest area (% of land area)" 26
"Forest area (sq. km)" 26
"Forest rents (% of GDP)" 46
"Fossil fuel energy consumption (% of total)" 43
"Fuel exports (% of merchandise exports)" 54
"Fuel imports (% of merchandise imports)" 54
"GDP (constant LCU)" 51
"GDP (current LCU)" 51
"GDP (current US$)" 51
"GDP at market prices (constant 2010 US$)" 51
"GDP deflator (base year varies by country)" 51
"GDP growth (annual %)" 50
"GDP per capita (constant 2010 US$)" 51
"GDP per capita (constant LCU)" 51
"GDP per capita (current LCU)" 51
"GDP per capita (current US$)" 51
"GDP per capita growth (annual %)" 50
"GDP per capita, PPP (constant 2011 international $)" 26
"GDP per capita, PPP (current international $)" 26
"GDP per person employed (constant 2011 PPP $)" 24
"GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)" 25
"GDP per unit of energy use (PPP $ per kg of oil equivalent)" 25
"GDP, PPP (constant 2011 international $)" 26
"GDP, PPP (current international $)" 26
"General government final consumption expenditure (% of GDP)" 51
"General government final consumption expenditure (annual % growth)" 48
"General government final consumption expenditure (constant 2010 US$)" 49
"General government final consumption expenditure (constant LCU)" 49
"General government final consumption expenditure (current LCU)" 51
"General government final consumption expenditure (current US$)" 51
"GHG net emissions/removals by LUCF (Mt of CO2 equivalent)" 1
"GINI index (World Bank estimate)" 6
"GNI (constant 2010 US$)" 49
"GNI (constant LCU)" 49
"GNI (current LCU)" 51
"GNI (current US$)" 51
"GNI growth (annual %)" 48
"GNI per capita (constant 2010 US$)" 49
"GNI per capita (constant LCU)" 49
"GNI per capita (current LCU)" 51
"GNI per capita growth (annual %)" 48
"GNI per capita, Atlas method (current US$)" 49
"GNI per capita, PPP (constant 2011 international $)" 24
"GNI per capita, PPP (current international $)" 26
"GNI, Atlas method (current US$)" 49
"GNI, PPP (constant 2011 international $)" 24
"GNI, PPP (current international $)" 26
"Goods and services expense (% of expense)" 23
"Goods and services expense (current LCU)" 23
"Goods exports (BoP, current US$)" 40
"Goods imports (BoP, current US$)" 40
"Government expenditure on education, total (% of GDP)" 28
"Government expenditure per student, primary (% of GDP per capita)" 8
"Government expenditure per student, secondary (% of GDP per capita)" 8
"Government expenditure per tertiary student as % of GDP per capita (%)" 15
"Grants and other revenue (% of revenue)" 41
"Grants and other revenue (current LCU)" 41
"Grants, excluding technical cooperation (BoP, current US$)" 55
"Gross capital formation (% of GDP)" 51
"Gross capital formation (annual % growth)" 48
"Gross capital formation (constant 2010 US$)" 49
"Gross capital formation (constant LCU)" 49
"Gross capital formation (current LCU)" 51
"Gross capital formation (current US$)" 51
"Gross domestic income (constant LCU)" 49
"Gross domestic savings (% of GDP)" 51
"Gross domestic savings (current LCU)" 51
"Gross domestic savings (current US$)" 51
"Gross enrollment ratio, primary, both sexes (%)" 44
"Gross enrolment ratio, pre-primary, both sexes (%)" 11
"Gross enrolment ratio, pre-primary, female (%)" 8
"Gross enrolment ratio, pre-primary, male (%)" 8
"Gross enrolment ratio, secondary, both sexes (%)" 43
"Gross enrolment ratio, tertiary, both sexes (%)" 44
